user_id|name|played_app_ids|preferred_tags|amount_playing
76561199216213590|Zer0_M1st4k3s|[730, 7670, 286690, 413150, 532210, 1113000, 1145360, 1180660, 1687950]|["RPG", "Action", "Free To Play", "Indie", "Adventure", "Simulation"]|[5, 1, 4, 89, 12, 43, 37, 1, 85]
76561199003926879|RikkyFort|[730, 105600, 223710, 285900, 291480, 291550, 444090, 504230, 550650, 578080, 601150, 723780, 783770, 1026820, 1172470, 1216200, 1279610, 1281930, 1282270, 1408680, 1665460, 1677740, 1797880, 1815780, 1928420, 1938090, 1973530, 1987080, 2139460, 2357570, 2379780, 2437170, 2767030, 2943650, 3564740, 3763830]|["Action", "Free To Play", "Adventure", "Indie", "Massively Multiplayer", "Casual", "RPG", "Strategy", "Simulation", "Sports"]|[99, 339, 1, 3, 18, 9, 13, 49, 32, 1, 165, 1, 1, 4, 17, 22, 1, 238, 1, 1, 1, 1, 1, 1, 2, 8, 388, 3, 1, 1, 51, 3, 116, 5, 1, 13]
76561198986811929|Al3nolo|[550, 730, 4000, 223750, 236390, 244210, 269950, 291550, 322170, 677620, 714010, 764570, 871720, 967050, 1174180, 1705180, 1938090, 1966720, 2051620, 2881650]|["Action", "Indie", "Free To Play", "Simulation", "Adventure", "Casual", "Early Access", "Massively Multiplayer", "Racing", "Sports"]|[15, 114, 3, 1, 544, 35, 117, 2, 7, 8, 85, 1, 1, 1, 15, 10, 12, 1, 2, 5]
76561199247983915|earthquake|[10, 400, 730, 3590, 12210, 20920, 33100, 33120, 40700, 50130, 105600, 107410, 110800, 207610, 219150, 220240, 221100, 225540, 238320, 239140, 240720, 242760, 248390, 271590, 286690, 289070, 292030, 305620, 312660, 323190, 359550, 360430, 371660, 377160, 391720, 414340, 414700, 418370, 424840, 447040, 448510, 456750, 493490, 532210, 578080, 629520, 645630, 648800, 666330, 714010, 750920, 782330, 860510, 883710, 952060, 960910, 960990, 976310, 977950, 1030830, 1030840, 1085660, 1100990, 1110910, 1149460, 1151640, 1174180, 1190340, 1222670, 1259420, 1262540, 1293830, 1361320, 1366800, 1422450, 1449560, 1466640, 1545450, 1593500, 1659040, 1808500, 1846380, 1888930, 1938090, 1942280, 1943950, 1954200, 2050650, 2073850, 2250040, 2369390, 2381590, 2507950, 2567870, 2694490, 2767030, 2807960, 3240220]|["Action", "Adventure", "Indie", "Simulation", "RPG", "Free To Play", "Strategy", "Casual", "Racing", "Massively Multiplayer"]|[1, 3, 125, 1, 31, 1, 1, 1, 7, 1, 1, 1, 1, 5, 5, 10, 1, 4, 5, 3, 2, 4, 1, 509, 5, 2, 102, 85, 1, 6, 1, 32, 2, 9, 1, 3, 1, 11, 7, 4, 1, 11, 1, 3, 12, 11, 1, 9, 1, 13, 1, 1, 9, 34, 22, 10, 15, 7, 1, 24, 10, 4, 9, 1, 5, 3, 132, 4, 1, 37, 1, 20, 7, 675, 5, 2, 1, 2, 125, 6, 256, 41, 53, 26, 9, 10, 12, 47, 810, 4, 3, 3, 1, 5, 185, 1, 2, 10]
